syndicate,name,cost,rank
Steel Meridian,Kaszas Handle,"20,000",Rank 2: Valiant
Steel Meridian,Velocitus Receiver,"20,000",Rank 2: Valiant
Steel Meridian,Corvas Stock,"20,000",Rank 2: Valiant
Steel Meridian,Agkuza Guard,"20,000",Rank 3: Defender
Steel Meridian,Fluctus Stock,"20,000",Rank 3: Defender
Steel Meridian,Vaykor Marelok,"100,000",Rank 5: General
Steel Meridian,Vaykor Hek,"125,000",Rank 5: General
Steel Meridian,Vaykor Sydon,"125,000",Rank 5: General
Steel Meridian,Grineer Settlement Reactor Scene,"100,000",Rank 5: General
Steel Meridian,Kuva Throne Scene,"100,000",Rank 5: General
Steel Meridian,Steel Meridian Combat Emote,"70,000",Rank 5: General
Steel Meridian,Steel Meridian Gunnery Emote,"70,000",Rank 5: General
Steel Meridian,Steel Meridian Piloting Emote,"70,000",Rank 5: General
Steel Meridian,Steel Meridian Endurance Emote,"70,000",Rank 5: General
Steel Meridian,Meridian Armor Set,"125,000",Rank 5: General
Steel Meridian,Grineer Asteroid Simulacrum,"100,000",Rank 5: General
Arbiters of Hexis,Decurion Barrel,"20,000",Rank 2: Authentic
Arbiters of Hexis,Phaedra Barrel,"20,000",Rank 2: Authentic
Arbiters of Hexis,Corvas Barrel,"20,000",Rank 2: Authentic
Arbiters of Hexis,Cyngas Barrel,"20,000",Rank 3: Lawful
Arbiters of Hexis,Centaur Aegis,"20,000",Rank 3: Lawful
Arbiters of Hexis,Telos Akbolto,"100,000",Rank 5: Maxim
Arbiters of Hexis,Telos Boltor,"125,000",Rank 5: Maxim
Arbiters of Hexis,Telos Boltace,"125,000",Rank 5: Maxim
Arbiters of Hexis,Lua Nursery Scene,"100,000",Rank 5: Maxim
Arbiters of Hexis,Lua Containment Scene,"100,000",Rank 5: Maxim
Arbiters of Hexis,Arbiters Combat Emote,"70,000",Rank 5: Maxim
Arbiters of Hexis,Arbiters Engineering Emote,"70,000",Rank 5: Maxim
Arbiters of Hexis,Arbiters Gunnery Emote,"70,000",Rank 5: Maxim
Arbiters of Hexis,Arbiters Piloting Emote,"70,000",Rank 5: Maxim
Arbiters of Hexis,Arbiters Endurance Emote,"70,000",Rank 5: Maxim
Arbiters of Hexis,Hexis Armor Set,"125,000",Rank 5: Maxim
Arbiters of Hexis,Zanuka Arena Simulacrum,"100,000",Rank 5: Maxim
Arbitrations,Sharpshooter,20,
Arbitrations,Cautious Shot,20,
Arbitrations,Power Donation,20,
Arbitrations,Vigorous Swap,20,
Arbitrations,Rolling Guard,20,
Arbitrations,Preparation,30,
Arbitrations,Aerial Ace,30,
Arbitrations,Mending Shot,30,
Arbitrations,Energizing Shot,30,
Arbitrations,Ayatan Zambuka Sculpture,50,
Arbitrations,Grendel Chassis Locator,25,
Arbitrations,Grendel Neuroptics Locator,25,
Arbitrations,Grendel Systems Locator,25,
Arbitrations,Galvanized Acceleration,20,
Arbitrations,Galvanized Aptitude,20,
Arbitrations,Galvanized Chamber,20,
Arbitrations,Galvanized Crosshairs,20,
Arbitrations,Galvanized Diffusion,20,
Arbitrations,Galvanized Hell,20,
Arbitrations,Galvanized Savvy,20,
Arbitrations,Galvanized Scope,20,
Arbitrations,Galvanized Shot,20,
Arbitrations,Galvanized Steel,20,
Arbitrations,Galvanized Reflex,20,
Arbitrations,Galvanized Elementalist,20,
Arbitrations,Arcane Pistoleer,10,
Arbitrations,Arcane Tanker,10,
Arbitrations,Arcane Bodyguard,10,
Arbitrations,Arcane Blade Charger,10,
Arbitrations,Arcane Primary Charger,10,
Arbitrations,Combat Discipline,20,
Arbitrations,Adaptation,20,
Arbitrations,Aerodynamic,30,
Arbitrations,Shepherd,30,
Arbitrations,Melee Guidance,20,
Arbitrations,Swift Momentum,20,
Cephalon Suda,Decurion Receiver,"20,000",Rank 2:Intriguing
Cephalon Suda,Velocitus Barrel,"20,000",Rank 2: Intriguing
Cephalon Suda,Corvas Receiver,"20,000",Rank 2: Intriguing
Cephalon Suda,Cyngas Receiver,"20,000",Rank 3: Intelligent
Cephalon Suda,Fluctus Barrel,"20,000",Rank 3: Intelligent
Cephalon Suda,Synoid Gammacor,"100,000",Rank 5: Genius
Cephalon Suda,Synoid Simulor,"125,000",Rank 5: Genius
Cephalon Suda,Synoid Heliocor,"125,000",Rank 5: Genius
Cephalon Suda,Corpus Ice Planet Wreckage Scene,"100,000",Rank 5: Genius
Cephalon Suda,Chamber Of The Lotus Scene,"100,000",Rank 5: Genius
Cephalon Suda,Cephalon Suda Combat Emote,"70,000",Rank 5: Genius
Cephalon Suda,Cephalon Suda Engineering Emote,"70,000",Rank 5: Genius
Cephalon Suda,Cephalon Suda Gunnery Emote,"70,000",Rank 5: Genius
Cephalon Suda,Cephalon Suda Piloting Emote,"70,000",Rank 5: Genius
Cephalon Suda,Cephalon Suda Endurance Emote,"70,000",Rank 5: Genius
Cephalon Suda,Suda Armor Set,"125,000",Rank 5: Genius
Cephalon Suda,Orokin Derelict Simulacrum,"100,000",Rank 5: Genius
The Perrin Sequence,Onorix Handle,"20,000",Rank 2: Senior Associate
The Perrin Sequence,Phaedra Receiver,"20,000",Rank 2: Senior Associate
The Perrin Sequence,Centaur Blade,"20,000",Rank 3: Executive
The Perrin Sequence,Cyngas Stock,"25,000",Rank 3: Executive
The Perrin Sequence,Secura Dual Cestra,"100,000",Rank 5: Partner
The Perrin Sequence,Secura Penta,"125,000",Rank 5: Partner
The Perrin Sequence,Secura Lecta,"125,000",Rank 5: Partner
The Perrin Sequence,Corpus Gas City Conduit Scene,"100,000",Rank 5: Partner
The Perrin Sequence,Mycona Colony Scene,"100,000",Rank 5: Partner
The Perrin Sequence,Perrin Piloting Emote,"70,000",Rank 5: Partner
The Perrin Sequence,Perrin Endurance Emote,"70,000",Rank 5: Partner
The Perrin Sequence,Perrin Armor Set,"125,000",Rank 5: Partner
The Perrin Sequence,Ambulas Arena Simulacrum,"100,000",Rank 5: Partner
Red Veil,Kaszas Blade,"20,000",Rank 2: Honored
Red Veil,Velocitus Stock,"20,000",Rank 2: Honored
Red Veil,Rathbone Handle,"20,000",Rank 2: Honored
Red Veil,Agkuza Handle,"20,000",Rank 3: Esteemed
Red Veil,Fluctus Limbs,"20,000",Rank 3: Esteemed
Red Veil,Rakta Ballistica,"100,000",Rank 5: Exalted
Red Veil,Rakta Cernos,"125,000",Rank 5: Exalted
Red Veil,Rakta Dark Dagger,"125,000",Rank 5: Exalted
Red Veil,Infested Ship Bridge Scene,"100,000",Rank 5: Exalted
Red Veil,Red Veil Engineering Emote,"70,000",Rank 5: Exalted
Red Veil,Red Veil Piloting Emote,"70,000",Rank 5: Exalted
Red Veil,Red Veil Armor Set,"125,000",Rank 5: Exalted
Red Veil,Red Veil Temple Simulacrum,"100,000",Rank 5: Exalted
New Loka,Onorix Blade,"20,000",Rank 2: Bountiful
New Loka,Phaedra Stock,"20,000",Rank 2: Bountiful
New Loka,Rathbone Head,"20,000",Rank 2: Bountiful
New Loka,Agkuza Blade,"20,000",Rank 3: Benevolent
New Loka,Centaur Handle,"20,000",Rank 3: Benevolent
New Loka,Sancti Castanas,"100,000",Rank 5: Flawless
New Loka,Sancti Tigris,"125,000",Rank 5: Flawless
New Loka,Sancti Magistar,"125,000",Rank 5: Flawless
New Loka,Grineer Shipyards Manufactory Scene,"100,000",Rank 5: Flawless
New Loka,Silver Grove Shrine Scene,"100,000",Rank 5: Flawless
New Loka,New Loka Combat Emote,"70,000",Rank 5: Flawless
New Loka,New Loka Engineering Emote,"70,000",Rank 5: Flawless
New Loka,New Loka Piloting Emote,"70,000",Rank 5: Flawless
New Loka,New Loka Endurance Emote,"70,000",Rank 5: Flawless
New Loka,Lokan Armor Set,"125,000",Rank 5: Flawless
New Loka,Moonlit Courtyard Simulacrum,"100,000",Rank 5: Flawless
Ostron,Exodia Brave,"10,000",Rank 5: Kin
Ostron,Exodia Valor,"10,000",Rank 5: Kin
Ostron,Exodia Might,"10,000",Rank 5: Kin
Ostron,Exodia Triumph,"10,000",Rank 5: Kin
Ostron,Exodia Hunt,"10,000",Rank 5: Kin
Ostron,Exodia Force,"10,000",Rank 5: Kin
Ostron,Ostron Armor Set,"125,000",Rank 5: Kin
Ostron,Plains of Eidolon Scene,"130,000",Rank 5: Kin
Ostron,Cetus Scene,"130,000",Rank 5: Kin
Ostron,Cetus Scene,"130,000",Rank 5: Kin
The Quills,Magus Vigor,"2,500",Rank 1: Mote
The Quills,Virtuos Null,"2,500",Rank 1: Mote
The Quills,Magus Husk,"5,000",Rank 2: Observer
The Quills,Virtuos Tempo,"5,000",Rank 2: Observer
The Quills,Virtuos Fury,"7,500",Rank 3: Adherent
The Quills,Magus Cloud,"10,000",Rank 4: Instrument
The Quills,Virtuos Strike,"10,000",Rank 4: Instrument
The Quills,Magus Cadence,"10,000",Rank 4: Instrument
The Quills,Magus Replenish,"10,000",Rank 4: Instrument
